sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Electrical resistivity,Hall concentration,Hall movility,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,hall density,Figure of merit Z
2429,10.1007/s11664-012-2253-9,2859,2,4103,Yb0.6Fe2Co2Sb12,Yb0.6Fe2Co2Sb12,750,,,93780,0.000010663,,,0.82376,0.0016587,0.00013143,2.5632,0.47877,,0.0006471208
2429,10.1007/s11664-012-2253-9,2859,2,4103,Yb0.6Fe2Co2Sb12,Yb0.6Fe2Co2Sb12,800,,,90915,0.000010999,,,0.78123,0.0017396,0.00013632,2.6088,0.51798,,0.00066682
2429,10.1007/s11664-012-2253-9,2859,2,4104,Yb0.3FeCo3Sb12,Yb0.3FeCo3Sb12,350,,,76086,0.000013143,,,1.8115,0.00059218,0.000088039,2.4533,0.082353,,0.000241381
2429,10.1007/s11664-012-2253-9,2859,2,4104,Yb0.3FeCo3Sb12,Yb0.3FeCo3Sb12,400,,,74631,0.000013399,,,1.7532,0.00068397,0.00009472,2.4599,0.11969,,0.0002780479
2429,10.1007/s11664-012-2253-9,2859,2,4104,Yb0.3FeCo3Sb12,Yb0.3FeCo3Sb12,450,,,73175,0.000013666,,,1.6949,0.00077575,0.0001014,2.4665,0.15703,,0.0003145145
2429,10.1007/s11664-012-2253-9,2859,2,4104,Yb0.3FeCo3Sb12,Yb0.3FeCo3Sb12,500,,,71720,0.000013943,,,1.6367,0.00086754,0.00010808,2.4731,0.19438,,0.0003507905
2429,10.1007/s11664-012-2253-9,2859,2,4104,Yb0.3FeCo3Sb12,Yb0.3FeCo3Sb12,550,,,70265,0.000014232,,,1.5784,0.00095933,0.00011477,2.4797,0.23172,,0.0003868734
2429,10.1007/s11664-012-2253-9,2859,2,4104,Yb0.3FeCo3Sb12,Yb0.3FeCo3Sb12,600,,,68809,0.000014533,,,1.5201,0.0010511,0.00012145,2.4863,0.26906,,0.0004227567
2429,10.1007/s11664-012-2253-9,2859,2,4104,Yb0.3FeCo3Sb12,Yb0.3FeCo3Sb12,650,,,67354,0.000014847,,,1.4619,0.0011429,0.00012813,2.4929,0.3064,,0.000458462
2429,10.1007/s11664-012-2253-9,2859,2,4104,Yb0.3FeCo3Sb12,Yb0.3FeCo3Sb12,700,,,65898,0.000015175,,,1.4036,0.0012347,0.00013481,2.4995,0.34374,,0.0004939788
2429,10.1007/s11664-012-2253-9,2859,2,4104,Yb0.3FeCo3Sb12,Yb0.3FeCo3Sb12,750,,,64443,0.000015518,,,1.3453,0.0013265,0.00014149,2.5061,0.38108,,0.0005293085
2429,10.1007/s11664-012-2253-9,2859,2,4104,Yb0.3FeCo3Sb12,Yb0.3FeCo3Sb12,800,,,62988,0.000015876,,,1.2871,0.0014183,0.00014817,2.5127,0.41842,,0.0005644526
2828,10.1039/c3tc31810a,11411,1a,13665,hot-pressed_ nH=1.12E19,Ag2Se,300,2.0639e+25,,316470,0.0000031599,,0.10934,,,,2.0027,,,
2828,10.1039/c3tc31810a,11411,1a,13665,hot-pressed_ nH=1.12E19,Ag2Se,350,2.4682e+25,,282040,0.0000035456,,0.094603,,,,2.0881,0.22406,,
2828,10.1039/c3tc31810a,11411,1a,13665,hot-pressed_ nH=1.12E19,Ag2Se,400,2.8726e+25,,254380,0.0000039312,,0.079866,,,,2.1735,0.20324,,
2828,10.1039/c3tc31810a,11411,1a,13665,hot-pressed_ nH=1.12E19,Ag2Se,450,3.2769e+25,,231650,0.0000043168,,0.065129,,,,2.259,0.18242,,
2828,10.1039/c3tc31810a,11411,1a,13665,hot-pressed_ nH=1.12E19,Ag2Se,500,3.6812e+25,,212650,0.0000047025,,0.050392,,,,2.3444,0.1616,,
2828,10.1039/c3tc31810a,11411,1a,13665,hot-pressed_ nH=1.12E19,Ag2Se,550,4.0856e+25,,196540,0.0000050881,,0.035655,,,,2.4298,0.14078,,
2828,10.1039/c3tc31810a,11411,1a,13665,hot-pressed_ nH=1.12E19,Ag2Se,600,4.4899e+25,,182690,0.0000054738,,0.020918,,,,2.5153,0.11997,,
2828,10.1039/c3tc31810a,11411,1a,13665,hot-pressed_ nH=1.12E19,Ag2Se,650,4.8942e+25,,170670,0.0000058594,,0.0061808,,,,2.6007,0.099148,,
2828,10.1039/c3tc31810a,11411,1a,13666,hot-pressed_ nH=1.28E19,Ag2.0006Se,300,1.931e+25,,300570,0.000003327,,0.10759,,,,1.9881,,,
2828,10.1039/c3tc31810a,11411,1a,13666,hot-pressed_ nH=1.28E19,Ag2.0006Se,350,2.2133e+25,,260340,0.0000038412,,0.092361,,0.00097553,-0.000061214,2.0108,0.19886,,0.0004851452
2828,10.1039/c3tc31810a,11411,1a,13666,hot-pressed_ nH=1.28E19,Ag2.0006Se,400,2.4955e+25,,229600,0.0000043554,,0.077135,,0.00082403,-0.000059908,2.0335,0.14592,,0.0004052274
2828,10.1039/c3tc31810a,11411,1a,13666,hot-pressed_ nH=1.28E19,Ag2.0006Se,450,2.7778e+25,,205350,0.0000048697,,0.061909,,0.00070521,-0.000058602,2.0562,0.15434,,0.0003429676
2828,10.1039/c3tc31810a,11411,1a,13666,hot-pressed_ nH=1.28E19,Ag2.0006Se,500,3.0601e+25,,185740,0.0000053839,,0.046683,,0.00060975,-0.000057296,2.0789,0.14665,,0.0002933042
2828,10.1039/c3tc31810a,11411,1a,13666,hot-pressed_ nH=1.28E19,Ag2.0006Se,550,3.3424e+25,,169540,0.0000058982,,0.031457,,0.00053147,-0.000055989,2.1016,0.13909,,0.0002528883
2828,10.1039/c3tc31810a,11411,1a,13666,hot-pressed_ nH=1.28E19,Ag2.0006Se,600,3.6246e+25,,155950,0.0000064124,,0.016231,,0.00046633,-0.000054683,2.1243,0.13171,,0.0002195217
2828,10.1039/c3tc31810a,11411,1a,13666,hot-pressed_ nH=1.28E19,Ag2.0006Se,650,3.9069e+25,,144370,0.0000069266,,0.0010052,,0.00041133,-0.000053377,2.147,0.12453,,0.0001915836
2828,10.1039/c3tc31810a,11411,1a,13667,hot-pressed_ nH=1.08E19,Ag2.0027Se,350,3.0032e+25,,271020,0.0000036897,,0.078658,,0.0015004,-0.000074406,1.7406,0.24063,,0.0008620016
2828,10.1039/c3tc31810a,11411,1a,13667,hot-pressed_ nH=1.08E19,Ag2.0027Se,400,3.5196e+25,,255360,0.0000039161,,0.06791,,0.0011257,-0.000066396,1.8619,0.20535,,0.0006045975
2828,10.1039/c3tc31810a,11411,1a,13667,hot-pressed_ nH=1.08E19,Ag2.0027Se,450,4.036e+25,,241400,0.0000041425,,0.057161,,0.00082289,-0.000058385,1.9831,0.17007,,0.0004149513
2828,10.1039/c3tc31810a,11411,1a,13667,hot-pressed_ nH=1.08E19,Ag2.0027Se,500,4.5524e+25,,228890,0.000004369,,0.046412,,0.00058082,-0.000050374,2.1044,0.13479,,0.0002760027
2828,10.1039/c3tc31810a,11411,1a,13667,hot-pressed_ nH=1.08E19,Ag2.0027Se,550,5.0687e+25,,217610,0.0000045954,,0.035664,,0.00039053,-0.000042363,2.2257,0.099509,,0.0001754639
2828,10.1039/c3tc31810a,11411,1a,13667,hot-pressed_ nH=1.08E19,Ag2.0027Se,600,5.5851e+25,,207390,0.0000048218,,0.024915,,0.00024473,-0.000034352,2.3469,0.064229,,0.000104278
2828,10.1039/c3tc31810a,11411,1a,13667,hot-pressed_ nH=1.08E19,Ag2.0027Se,650,6.1015e+25,,198090,0.0000050483,,0.014167,,0.00013744,-0.000026341,2.4682,0.028949,,0.0000556843
2828,10.1039/c3tc31810a,11411,1a,13667,hot-pressed_ nH=1.08E19,Ag2.0027Se,700,6.6178e+25,,189580,0.0000052747,,0.0034179,,,,,,,
2828,10.1039/c3tc31810a,11415,1e,13667,hot-pressed_ nH=1.08E19,Ag2.0027Se,300,,,,,,,,,,1.6193,,,
2828,10.1039/c3tc31810a,11411,1a,13668,ingot_ nH=7.83E18,Ag2Se,300,2.2072e+25,,277810,0.0000035996,,0.12126,,,,1.9653,,,
2828,10.1039/c3tc31810a,11411,1a,13668,ingot_ nH=7.83E18,Ag2Se,350,2.8699e+25,,273940,0.0000036504,,0.10459,,0.0023922,-0.000093448,2.3103,0.39291,,0.0010354499
2828,10.1039/c3tc31810a,11411,1a,13668,ingot_ nH=7.83E18,Ag2Se,400,3.5326e+25,,270190,0.0000037011,,0.087912,,0.0017789,-0.000081141,2.6553,0.3161,,0.0006699431
2828,10.1039/c3tc31810a,11411,1a,13668,ingot_ nH=7.83E18,Ag2Se,450,4.1953e+25,,266530,0.0000037519,,0.071238,,0.0012629,-0.000068834,3.0003,0.23929,,0.0004209246
2828,10.1039/c3tc31810a,11411,1a,13668,ingot_ nH=7.83E18,Ag2Se,500,4.858e+25,,262970,0.0000038027,,0.054564,,0.00084024,-0.000056526,3.3453,0.16248,,0.0002511703
2828,10.1039/c3tc31810a,11411,1a,13668,ingot_ nH=7.83E18,Ag2Se,550,5.5207e+25,,259510,0.0000038534,,0.037891,,0.00050743,-0.000044219,3.6903,0.085665,,0.0001375037
2828,10.1039/c3tc31810a,11411,1a,13668,ingot_ nH=7.83E18,Ag2Se,600,6.1834e+25,,256130,0.0000039042,,0.021217,,0.00026082,-0.000031911,4.0353,0.0088544,,0.0000646346
2828,10.1039/c3tc31810a,11411,1a,13668,ingot_ nH=7.83E18,Ag2Se,650,6.8461e+25,,252840,0.000003955,,0.0045427,,0.000097171,-0.000019604,4.3803,-0.067956,,0.0000221836
2828,10.1039/c3tc31810a,11411,1a,13669,ingot_ nH=5.56E18,Ag2.0006Se,300,1.2491e+25,,217520,0.0000045973,,0.12675,,,,1.8289,,,
2828,10.1039/c3tc31810a,11411,1a,13669,ingot_ nH=5.56E18,Ag2.0006Se,350,1.6099e+25,,208210,0.0000048028,,0.10998,,0.0019116,-0.000095819,1.9694,0.34656,,0.000970651
2828,10.1039/c3tc31810a,11411,1a,13669,ingot_ nH=5.56E18,Ag2.0006Se,400,1.9707e+25,,199670,0.0000050083,,0.093204,,0.0015659,-0.000088557,2.1099,0.30262,,0.0007421679
2828,10.1039/c3tc31810a,11411,1a,13669,ingot_ nH=5.56E18,Ag2.0006Se,450,2.3315e+25,,191800,0.0000052139,,0.076431,,0.0012676,-0.000081296,2.2504,0.25868,,0.0005632776
2828,10.1039/c3tc31810a,11411,1a,13669,ingot_ nH=5.56E18,Ag2.0006Se,500,2.6924e+25,,184520,0.0000054194,,0.059658,,0.0010114,-0.000074035,2.391,0.21474,,0.0004230029
2828,10.1039/c3tc31810a,11411,1a,13669,ingot_ nH=5.56E18,Ag2.0006Se,550,3.0532e+25,,177780,0.0000056249,,0.042886,,0.00079268,-0.000066774,2.5315,0.1708,,0.0003131266
2828,10.1039/c3tc31810a,11411,1a,13669,ingot_ nH=5.56E18,Ag2.0006Se,600,3.414e+25,,171510,0.0000058305,,0.026113,,0.00060745,-0.000059513,2.672,0.12687,,0.0002273391
2828,10.1039/c3tc31810a,11411,1a,13669,ingot_ nH=5.56E18,Ag2.0006Se,650,3.7748e+25,,165670,0.000006036,,0.0093401,,0.00045231,-0.000052251,2.8125,0.082927,,0.0001608213
2828,10.1039/c3tc31810a,11411,1a,13670,ingot_ nH=4.97E18,Ag2.0027Se,300,1.478e+25,,169360,0.0000059045,,0.12539,,,,1.8666,,,
2828,10.1039/c3tc31810a,11411,1a,13670,ingot_ nH=4.97E18,Ag2.0027Se,350,1.8856e+25,,203500,0.0000049141,,0.10866,,0.00084119,-0.000064293,2.0655,0.32692,,0.0004072573
2828,10.1039/c3tc31810a,11411,1a,13670,ingot_ nH=4.97E18,Ag2.0027Se,400,2.2933e+25,,234680,0.0000042611,,0.091935,,0.00088197,-0.000061304,2.2644,0.28307,,0.0003894939
2828,10.1039/c3tc31810a,11411,1a,13670,ingot_ nH=4.97E18,Ag2.0027Se,450,2.7009e+25,,253450,0.0000039456,,0.075208,,0.00086189,-0.000058315,2.4633,0.23923,,0.0003498924
2828,10.1039/c3tc31810a,11411,1a,13670,ingot_ nH=4.97E18,Ag2.0027Se,500,3.1085e+25,,252050,0.0000039675,,0.058482,,0.00077152,-0.000055326,2.6621,0.19539,,0.0002898163
2828,10.1039/c3tc31810a,11411,1a,13670,ingot_ nH=4.97E18,Ag2.0027Se,550,3.5162e+25,,231110,0.0000043269,,0.041755,,0.00063305,-0.000052337,2.861,0.15154,,0.0002212688
2828,10.1039/c3tc31810a,11411,1a,13670,ingot_ nH=4.97E18,Ag2.0027Se,600,3.9238e+25,,199060,0.0000050237,,0.025028,,0.00048476,-0.000049348,3.0599,0.1077,,0.0001584235
2828,10.1039/c3tc31810a,11411,1a,13670,ingot_ nH=4.97E18,Ag2.0027Se,650,4.3314e+25,,165070,0.000006058,,0.008301,,0.00035476,-0.000046359,3.2588,0.063854,,0.0001088622
2828,10.1039/c3tc31810a,26103,2a,32670,hot-pressed,undefined,,,,,,,,,,-0.000076596,,,1.5e+25,
2828,10.1039/c3tc31810a,26103,2a,32670,hot-pressed,undefined,,,,,,,,,,-0.000071092,,,2e+25,
2828,10.1039/c3tc31810a,26103,2a,32670,hot-pressed,undefined,,,,,,,,,,-0.000065588,,,2.5e+25,
2828,10.1039/c3tc31810a,26103,2a,32670,hot-pressed,undefined,,,,,,,,,,-0.000060084,,,3e+25,
2828,10.1039/c3tc31810a,26103,2a,32670,hot-pressed,undefined,,,,,,,,,,-0.00005458,,,3.5e+25,
2828,10.1039/c3tc31810a,26103,2a,32670,hot-pressed,undefined,,,,,,,,,,-0.000049077,,,4e+25,
2828,10.1039/c3tc31810a,26103,2a,32670,hot-pressed,undefined,,,,,,,,,,-0.000043573,,,4.5e+25,
2828,10.1039/c3tc31810a,26103,2a,32670,hot-pressed,undefined,,,,,,,,,,-0.000038069,,,5e+25,
2828,10.1039/c3tc31810a,26103,2a,32670,hot-pressed,undefined,,,,,,,,,,-0.000032565,,0.22958,5.5e+25,
2828,10.1039/c3tc31810a,26103,2a,32670,hot-pressed,undefined,,,,,,,,,,-0.000027061,,,6e+25,
2828,10.1039/c3tc31810a,26104,2b,32670,hot-pressed,undefined,,,,,,15000000000000,0.13301,,,,,,,
2828,10.1039/c3tc31810a,26104,2b,32670,hot-pressed,undefined,,,,,,20000000000000,0.12361,,,,,,,
2828,10.1039/c3tc31810a,26104,2b,32670,hot-pressed,undefined,,,,,,25000000000000,0.1142,,,,,,,
2828,10.1039/c3tc31810a,26104,2b,32670,hot-pressed,undefined,,,,,,30000000000000,0.1048,,,,,,,
2828,10.1039/c3tc31810a,26104,2b,32670,hot-pressed,undefined,,,,,,35000000000000,0.095396,,,,,,,
2828,10.1039/c3tc31810a,26104,2b,32670,hot-pressed,undefined,,,,,,40000000000000,0.085992,,,,,,,
2828,10.1039/c3tc31810a,26104,2b,32670,hot-pressed,undefined,,,,,,45000000000000,0.076588,,,,,,,
2828,10.1039/c3tc31810a,26104,2b,32670,hot-pressed,undefined,,,,,,50000000000000,0.067184,,,,,,,
2828,10.1039/c3tc31810a,26104,2b,32670,hot-pressed,undefined,,,,,,55000000000000,0.057781,,,,,,,
2828,10.1039/c3tc31810a,26104,2b,32670,hot-pressed,undefined,,,,,,60000000000000,0.048377,,,,,,,
2828,10.1039/c3tc31810a,26103,2a,32671,ingot,undefined,,,,,,,,,,-0.0001146,,,5e+24,
2828,10.1039/c3tc31810a,26103,2a,32671,ingot,undefined,,,,,,,,,,-0.00010686,,,1e+25,
2828,10.1039/c3tc31810a,26103,2a,32671,ingot,undefined,,,,,,,,,,-0.000099131,,,1.5e+25,
2828,10.1039/c3tc31810a,26103,2a,32671,ingot,undefined,,,,,,,,,,-0.000091398,,,2e+25,
2828,10.1039/c3tc31810a,26103,2a,32671,ingot,undefined,,,,,,,,,,-0.000083665,,,2.5e+25,
2828,10.1039/c3tc31810a,26103,2a,32671,ingot,undefined,,,,,,,,,,-0.000075932,,0.5863,3e+25,
2828,10.1039/c3tc31810a,26103,2a,32671,ingot,undefined,,,,,,,,,,-0.000068198,,0.59548,3.5e+25,
2828,10.1039/c3tc31810a,26103,2a,32671,ingot,undefined,,,,,,,,,,-0.000060465,,0.60466,4e+25,
2828,10.1039/c3tc31810a,26103,2a,32671,ingot,undefined,,,,,,,,,,-0.000052732,,0.61384,4.5e+25,
2828,10.1039/c3tc31810a,26103,2a,32671,ingot,undefined,,,,,,,,,,-0.000044999,,,5e+25,
2828,10.1039/c3tc31810a,26103,2a,32671,ingot,undefined,,,,,,,,,,-0.000037266,,,5.5e+25,
2828,10.1039/c3tc31810a,26103,2a,32671,ingot,undefined,,,,,,,,,,-0.000029533,,,6e+25,
2828,10.1039/c3tc31810a,26104,2b,32671,ingot,undefined,,,,,,5000000000000,0.16298,0.52011,,,,,,
2828,10.1039/c3tc31810a,26104,2b,32671,ingot,undefined,,,,,,10000000000000,0.15289,,,,,,,
2828,10.1039/c3tc31810a,26104,2b,32671,ingot,undefined,,,,,,15000000000000,0.14281,,,,,,,
2828,10.1039/c3tc31810a,26104,2b,32671,ingot,undefined,,,,,,20000000000000,0.13272,,,,,,,
2828,10.1039/c3tc31810a,26104,2b,32671,ingot,undefined,,,,,,25000000000000,0.12263,,,,,,,
2828,10.1039/c3tc31810a,26104,2b,32671,ingot,undefined,,,,,,30000000000000,0.11254,,,,,,,
2828,10.1039/c3tc31810a,26104,2b,32671,ingot,undefined,,,,,,35000000000000,0.10245,,,,,,,
2828,10.1039/c3tc31810a,26104,2b,32671,ingot,undefined,,,,,,40000000000000,0.092365,,,,,,,
2828,10.1039/c3tc31810a,26104,2b,32671,ingot,undefined,,,,,,45000000000000,0.082276,,,,,,,
2828,10.1039/c3tc31810a,26104,2b,32671,ingot,undefined,,,,,,50000000000000,0.072188,,,,,,,
2828,10.1039/c3tc31810a,26104,2b,32671,ingot,undefined,,,,,,55000000000000,0.0621,,,,,,,
2828,10.1039/c3tc31810a,26104,2b,32671,ingot,undefined,,,,,,60000000000000,0.052011,,,,,,,
2828,10.1039/c3tc31810a,26106,2d,32672,Aliev 2009,undefined,,,,,,,,,,,,0.75891,4.5e+25,
2828,10.1039/c3tc31810a,26106,2d,32673,Ferhat 2000,undefined,,,,,,,,,,,,0.70102,5e+24,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4361,CeFe3.9Ga0.1Sb12,CeFe3.9Ga0.1Sb12,350,,,186740,0.000005355,,,,0.0016313,0.000093465,,,,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4361,CeFe3.9Ga0.1Sb12,CeFe3.9Ga0.1Sb12,400,,,179840,0.0000055605,,,,0.0018186,0.00010056,,,,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4361,CeFe3.9Ga0.1Sb12,CeFe3.9Ga0.1Sb12,450,,,172940,0.0000057824,,,,0.0020045,0.00010766,,,,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4361,CeFe3.9Ga0.1Sb12,CeFe3.9Ga0.1Sb12,500,,,166050,0.0000060223,,,,0.0021865,0.00011475,,,,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4361,CeFe3.9Ga0.1Sb12,CeFe3.9Ga0.1Sb12,550,,,159150,0.0000062834,,,,0.002363,0.00012185,,,,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4361,CeFe3.9Ga0.1Sb12,CeFe3.9Ga0.1Sb12,600,,,152250,0.0000065681,,,,0.0025316,0.00012895,,,,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4361,CeFe3.9Ga0.1Sb12,CeFe3.9Ga0.1Sb12,650,,,145360,0.0000068795,,,,0.0026902,0.00013604,,,,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4361,CeFe3.9Ga0.1Sb12,CeFe3.9Ga0.1Sb12,700,,,138460,0.0000072223,,,,0.0028369,0.00014314,,,,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4361,CeFe3.9Ga0.1Sb12,CeFe3.9Ga0.1Sb12,750,,,131560,0.0000076011,,,,0.0029696,0.00015024,,,,
3404,10.1016/j.jssc.2012.06.019,3134,4(a)_S,4361,CeFe3.9Ga0.1Sb12,CeFe3.9Ga0.1Sb12,800,,,,,,,,,0.00015733,,,,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4362,CeFe3.9Co0.1Sb12,CeFe3.9Co0.1Sb12,350,,,188780,0.0000052972,,,,0.001655,0.00009363,,,,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4362,CeFe3.9Co0.1Sb12,CeFe3.9Co0.1Sb12,400,,,181680,0.0000055042,,,,0.0018383,0.00010059,,,,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4362,CeFe3.9Co0.1Sb12,CeFe3.9Co0.1Sb12,450,,,174580,0.000005728,,,,0.0020197,0.00010756,,,,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4362,CeFe3.9Co0.1Sb12,CeFe3.9Co0.1Sb12,500,,,167480,0.0000059709,,,,0.0021965,0.00011452,,,,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4362,CeFe3.9Co0.1Sb12,CeFe3.9Co0.1Sb12,550,,,160370,0.0000062356,,,,0.0023666,0.00012148,,,,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4362,CeFe3.9Co0.1Sb12,CeFe3.9Co0.1Sb12,600,,,153270,0.0000065244,,,,0.0025285,0.00012844,,,,
3404,10.1016/j.jssc.2012.06.019,3133,4(a),4362,CeFe3.9Co0.1Sb12,CeFe3.9Co0.1Sb12,650,,,146170,0.0000068413,,,,0.0026802,0.00013541,,,,
